chrom	start	end	coverage	sample
SRX17852075	0	200	1884.36	SRX17852075
SRX17852075	200	400	3475.49	SRX17852075
SRX17852075	400	600	2266.84	SRX17852075
SRX17852075	600	800	1659.17	SRX17852075
SRX17852075	800	1000	2025.97	SRX17852075
SRX17852075	1000	1200	1816.68	SRX17852075
SRX17852075	1200	1400	1138.64	SRX17852075
SRX17852075	1400	1600	956.48	SRX17852075
SRX17852075	1600	1800	2247.51	SRX17852075
SRX17852075	1800	2000	2740.9	SRX17852075
SRX17852075	2000	2200	4311.64	SRX17852075
SRX17852075	2200	2400	605.16	SRX17852075
SRX17852075	2400	2600	524.57	SRX17852075
SRX17852075	2600	2800	1324.33	SRX17852075
SRX17852075	2800	3000	1067.75	SRX17852075
SRX17852075	3000	3200	2262.55	SRX17852075
SRX17852075	3200	3400	4316.33	SRX17852075
SRX17852075	3400	3600	2543.56	SRX17852075
SRX17852075	3600	3800	2512.18	SRX17852075
SRX17852075	3800	4000	3835.89	SRX17852075
SRX17852075	4000	4200	1581.97	SRX17852075
SRX17852075	4200	4400	905.99	SRX17852075
SRX17852075	4400	4600	904.31	SRX17852075
SRX17852075	4600	4800	2105.33	SRX17852075
SRX17852075	4800	5000	3237.29	SRX17852075
SRX17852075	5000	5200	3541.26	SRX17852075
SRX17852075	5200	5400	1832.44	SRX17852075
SRX17852075	5400	5600	1209.17	SRX17852075
SRX17852075	5600	5800	2633.15	SRX17852075
SRX17852075	5800	6000	1635.14	SRX17852075
SRX17852075	6000	6200	1057.46	SRX17852075
SRX17852075	6200	6400	1699.69	SRX17852075
SRX17852075	6400	6600	1423.35	SRX17852075
SRX17852075	6600	6800	1111.42	SRX17852075
SRX17852075	6800	7000	1199.02	SRX17852075
SRX17852075	7000	7200	649.87	SRX17852075
SRX17852075	7200	7400	569.29	SRX17852075
SRX17852075	7400	7600	2530.46	SRX17852075
SRX17852075	7600	7800	1684.7	SRX17852075
SRX17852075	7800	8000	301.28	SRX17852075
SRX17852075	8000	8200	5011.98	SRX17852075
SRX17852075	8200	8400	5049.72	SRX17852075
SRX17852075	8400	8600	2316.95	SRX17852075
SRX17852075	8600	8800	2374.13	SRX17852075
SRX17852075	8800	9000	1930.58	SRX17852075
SRX17852075	9000	9200	822.77	SRX17852075
SRX17852075	9200	9400	893.87	SRX17852075
SRX17852075	9400	9600	926.06	SRX17852075
SRX17852075	9600	9800	1797.79	SRX17852075
SRX17852075	9800	10000	1774.1	SRX17852075
SRX17852075	10000	10200	1686.79	SRX17852075
SRX17852075	10200	10400	1857.35	SRX17852075
SRX17852075	10400	10600	2131.99	SRX17852075
SRX17852075	10600	10800	2009.08	SRX17852075
SRX17852075	10800	11000	1379.78	SRX17852075
SRX17852075	11000	11200	2147.46	SRX17852075
SRX17852075	11200	11400	2219.03	SRX17852075
SRX17852075	11400	11600	1582.67	SRX17852075
SRX17852075	11600	11800	1381.21	SRX17852075
SRX17852075	11800	12000	1682.16	SRX17852075
