task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	81/e157b1	19635	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (SRX17852075.fasta)	COMPLETED	0	2024-05-22 10:22:54.385	1.3s	1s	32.6%	4.7 MB	11.7 MB	818.2 KB	4.9 KB
4	3a/12e572	20158	NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (SRX17852075_samplesheet.csv)	COMPLETED	0	2024-05-22 10:22:55.681	1.4s	0ms	74.0%	4.2 MB	9.9 MB	24.4 MB	565 B
5	c8/816049	19647	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (SRX17852075.fasta)	COMPLETED	0	2024-05-22 10:22:54.360	3.7s	2s	65.7%	19.3 MB	45.6 MB	53 MB	8.4 MB
2	e3/6eebd6	19633	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD (SRX17852075.fasta)	COMPLETED	0	2024-05-22 10:22:54.372	4.6s	4s	54.7%	83.8 MB	15.2 GB	41.6 MB	16.9 KB
1	0a/c3b0fa	20956	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (SRX17852075_Artic_4.1.bed)	COMPLETED	0	2024-05-22 10:22:58.040	1.4s	1s	84.6%	4.3 MB	9.9 MB	24.4 MB	4.4 KB
6	0c/4fbb28	20959	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (SRX17852075)	COMPLETED	0	2024-05-22 10:22:58.057	19s	18s	125.6%	174.1 MB	178.9 MB	146.1 MB	34.5 MB
7	dd/0dfd6d	22531	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SRX17852075)	COMPLETED	0	2024-05-22 10:23:17.257	25.1s	25s	1169.4%	321.9 MB	1.8 GB	209.1 MB	181.1 MB
8	5b/a20005	24259	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SRX17852075)	COMPLETED	0	2024-05-22 10:23:42.405	3.8s	3s	119.4%	141.5 MB	5.5 GB	34.7 MB	18.2 MB
9	6e/fa6cfd	24693	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SRX17852075)	COMPLETED	0	2024-05-22 10:23:46.203	1.7s	0ms	73.7%	4.7 MB	11.7 MB	19 MB	5 KB
11	4f/540948	24912	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SRX17852075)	COMPLETED	0	2024-05-22 10:23:47.937	2.6s	2s	11.6%	14.1 MB	43.9 MB	849 KB	5 KB
12	b0/5b4cfc	24910	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SRX17852075)	COMPLETED	0	2024-05-22 10:23:47.927	2.8s	2s	26.1%	12.7 MB	42.4 MB	19 MB	5.4 KB
