chrom	start	end	coverage	sample
SRX17852076	0	200	3461.08	SRX17852076
SRX17852076	200	400	6258.63	SRX17852076
SRX17852076	400	600	3462.24	SRX17852076
SRX17852076	600	800	2548.34	SRX17852076
SRX17852076	800	1000	3160.09	SRX17852076
SRX17852076	1000	1200	2932.43	SRX17852076
SRX17852076	1200	1400	2021.47	SRX17852076
SRX17852076	1400	1600	1959.21	SRX17852076
SRX17852076	1600	1800	3403.51	SRX17852076
SRX17852076	1800	2000	4305.81	SRX17852076
SRX17852076	2000	2200	6917.12	SRX17852076
SRX17852076	2200	2400	744.55	SRX17852076
SRX17852076	2400	2600	901.92	SRX17852076
SRX17852076	2600	2800	2740.16	SRX17852076
SRX17852076	2800	3000	1787.79	SRX17852076
SRX17852076	3000	3200	3574.01	SRX17852076
SRX17852076	3200	3400	7019.06	SRX17852076
SRX17852076	3400	3600	3824.59	SRX17852076
SRX17852076	3600	3800	3945.4	SRX17852076
SRX17852076	3800	4000	6654.23	SRX17852076
SRX17852076	4000	4200	1970.82	SRX17852076
SRX17852076	4200	4400	838.36	SRX17852076
SRX17852076	4400	4600	1925.26	SRX17852076
SRX17852076	4600	4800	3298.78	SRX17852076
SRX17852076	4800	5000	5177.9	SRX17852076
SRX17852076	5000	5200	7434.78	SRX17852076
SRX17852076	5200	5400	3595.58	SRX17852076
SRX17852076	5400	5600	1989.41	SRX17852076
SRX17852076	5600	5800	4290.97	SRX17852076
SRX17852076	5800	6000	2424.22	SRX17852076
SRX17852076	6000	6200	1075.66	SRX17852076
SRX17852076	6200	6400	3710.47	SRX17852076
SRX17852076	6400	6600	2785.29	SRX17852076
SRX17852076	6600	6800	943.1	SRX17852076
SRX17852076	6800	7000	2023.18	SRX17852076
SRX17852076	7000	7200	967.98	SRX17852076
SRX17852076	7200	7400	432.89	SRX17852076
SRX17852076	7400	7600	4516.03	SRX17852076
SRX17852076	7600	7800	3031.7	SRX17852076
SRX17852076	7800	8000	481.25	SRX17852076
SRX17852076	8000	8200	8959.27	SRX17852076
SRX17852076	8200	8400	8881.11	SRX17852076
SRX17852076	8400	8600	3505.73	SRX17852076
SRX17852076	8600	8800	4365.47	SRX17852076
SRX17852076	8800	9000	3661.23	SRX17852076
SRX17852076	9000	9200	772.22	SRX17852076
SRX17852076	9200	9400	1592.23	SRX17852076
SRX17852076	9400	9600	1620.55	SRX17852076
SRX17852076	9600	9800	2717.53	SRX17852076
SRX17852076	9800	10000	3372.07	SRX17852076
SRX17852076	10000	10200	3004.21	SRX17852076
SRX17852076	10200	10400	2775.72	SRX17852076
SRX17852076	10400	10600	3574.32	SRX17852076
SRX17852076	10600	10800	3304.55	SRX17852076
SRX17852076	10800	11000	1522.8	SRX17852076
SRX17852076	11000	11200	3307.54	SRX17852076
SRX17852076	11200	11400	3601.24	SRX17852076
SRX17852076	11400	11600	2372.95	SRX17852076
SRX17852076	11600	11800	2386.38	SRX17852076
SRX17852076	11800	12000	3030.21	SRX17852076
SRX17852076	12000	12200	2662.48	SRX17852076
SRX17852076	12200	12400	4158.9	SRX17852076
SRX17852076	12400	12600	6040.6	SRX17852076
SRX17852076	12600	12800	1515.04	SRX17852076
SRX17852076	12800	13000	2401.49	SRX17852076
SRX17852076	13000	13200	4149.83	SRX17852076
SRX17852076	13200	13400	2782.04	SRX17852076
SRX17852076	13400	13600	3565.77	SRX17852076
SRX17852076	13600	13800	7291.74	SRX17852076
SRX17852076	13800	14000	4138.07	SRX17852076
SRX17852076	14000	14200	2535.99	SRX17852076
SRX17852076	14200	14400	3032.67	SRX17852076
SRX17852076	14400	14600	3031.24	SRX17852076
SRX17852076	14600	14800	2513.54	SRX17852076
SRX17852076	14800	15000	3271.68	SRX17852076
SRX17852076	15000	15200	540.92	SRX17852076
SRX17852076	15200	15400	1260.32	SRX17852076
SRX17852076	15400	15600	1940.23	SRX17852076
SRX17852076	15600	15800	3712.98	SRX17852076
SRX17852076	15800	16000	2669.62	SRX17852076
SRX17852076	16000	16200	3592.04	SRX17852076
SRX17852076	16200	16400	3601.1	SRX17852076
SRX17852076	16400	16600	4079.04	SRX17852076
SRX17852076	16600	16800	3640.57	SRX17852076
SRX17852076	16800	17000	3355.52	SRX17852076
SRX17852076	17000	17200	3057.24	SRX17852076
SRX17852076	17200	17400	2407.1	SRX17852076
SRX17852076	17400	17600	2421.66	SRX17852076
SRX17852076	17600	17800	2724.97	SRX17852076
SRX17852076	17800	18000	3508.34	SRX17852076
SRX17852076	18000	18200	2891.96	SRX17852076
SRX17852076	18200	18400	2835.14	SRX17852076
SRX17852076	18400	18600	4042.96	SRX17852076
SRX17852076	18600	18800	2359.79	SRX17852076
SRX17852076	18800	19000	2562.47	SRX17852076
SRX17852076	19000	19200	4258.95	SRX17852076
SRX17852076	19200	19400	5492.33	SRX17852076
SRX17852076	19400	19600	4036.74	SRX17852076
SRX17852076	19600	19800	1643.97	SRX17852076
SRX17852076	19800	20000	871.99	SRX17852076
SRX17852076	20000	20200	2028.87	SRX17852076
SRX17852076	20200	20400	5202.43	SRX17852076
SRX17852076	20400	20600	2039.12	SRX17852076
SRX17852076	20600	20800	1865.56	SRX17852076
SRX17852076	20800	21000	3801.32	SRX17852076
SRX17852076	21000	21200	2396.06	SRX17852076
SRX17852076	21200	21400	2364.87	SRX17852076
SRX17852076	21400	21600	3779.36	SRX17852076
SRX17852076	21600	21800	3516.02	SRX17852076
SRX17852076	21800	22000	1546.96	SRX17852076
SRX17852076	22000	22200	1784.51	SRX17852076
SRX17852076	22200	22400	333.33	SRX17852076
SRX17852076	22400	22600	1079.12	SRX17852076
SRX17852076	22600	22800	1356.61	SRX17852076
SRX17852076	22800	23000	2613.95	SRX17852076
SRX17852076	23000	23200	4897.3	SRX17852076
SRX17852076	23200	23400	3918	SRX17852076
SRX17852076	23400	23600	3510.73	SRX17852076
SRX17852076	23600	23800	305.15	SRX17852076
SRX17852076	23800	24000	975.13	SRX17852076
SRX17852076	24000	24200	1973.08	SRX17852076
SRX17852076	24200	24400	4318.73	SRX17852076
SRX17852076	24400	24600	3745.81	SRX17852076
SRX17852076	24600	24800	2395.83	SRX17852076
SRX17852076	24800	25000	2383.69	SRX17852076
SRX17852076	25000	25200	2613.78	SRX17852076
SRX17852076	25200	25400	4775.35	SRX17852076
SRX17852076	25400	25600	6295.38	SRX17852076
SRX17852076	25600	25800	2815.11	SRX17852076
SRX17852076	25800	26000	1638.21	SRX17852076
SRX17852076	26000	26200	4592.93	SRX17852076
SRX17852076	26200	26400	2326.75	SRX17852076
SRX17852076	26400	26600	305.62	SRX17852076
SRX17852076	26600	26800	3164.5	SRX17852076
SRX17852076	26800	27000	3045.64	SRX17852076
SRX17852076	27000	27200	2382.91	SRX17852076
SRX17852076	27200	27400	5651.77	SRX17852076
SRX17852076	27400	27600	3511.89	SRX17852076
SRX17852076	27600	27800	1903.43	SRX17852076
SRX17852076	27800	28000	1693.37	SRX17852076
SRX17852076	28000	28200	1489.51	SRX17852076
SRX17852076	28200	28400	3800.67	SRX17852076
SRX17852076	28400	28600	3493.4	SRX17852076
SRX17852076	28600	28800	4129.33	SRX17852076
SRX17852076	28800	29000	1344.32	SRX17852076
SRX17852076	29000	29200	483.13	SRX17852076
SRX17852076	29200	29400	3036.57	SRX17852076
SRX17852076	29400	29600	2386.97	SRX17852076
SRX17852076	29600	29800	2985.81	SRX17852076
