task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	7c/be0873	22951	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (SRX17852072.fasta)	COMPLETED	0	2024-05-22 10:14:33.645	1s	0ms	63.2%	6.1 MB	12 MB	818.2 KB	4.9 KB
3	0b/f24221	22953	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (SRX17852072_Artic_4.1.bed)	COMPLETED	0	2024-05-22 10:14:33.666	2.6s	2s	32.0%	4.1 MB	9.9 MB	24.4 MB	4.4 KB
5	1b/1500df	23030	NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (SRX17852072_samplesheet.csv)	COMPLETED	0	2024-05-22 10:14:33.786	2.7s	2s	37.9%	4.2 MB	9.9 MB	24.4 MB	560 B
1	d8/a4838a	22975	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD (SRX17852072.fasta)	COMPLETED	0	2024-05-22 10:14:33.718	3.8s	3s	66.7%	84.4 MB	15.1 GB	41.6 MB	16.8 KB
2	65/35673a	23763	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (SRX17852072.fasta)	COMPLETED	0	2024-05-22 10:14:36.305	5.2s	3s	77.6%	15.3 MB	89 MB	53 MB	8.3 MB
6	7e/f3eee9	24531	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (SRX17852072)	COMPLETED	0	2024-05-22 10:14:41.516	17.2s	16s	121.9%	1.3 GB	1.8 GB	127.1 MB	23.3 MB
7	39/5e3734	25333	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SRX17852072)	COMPLETED	0	2024-05-22 10:14:58.901	20.9s	20s	1026.7%	321.9 MB	1.8 GB	150 MB	122.2 MB
8	ed/efb9f5	26825	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SRX17852072)	COMPLETED	0	2024-05-22 10:15:19.873	6s	4s	60.7%	98.5 MB	5.4 GB	23.7 MB	12.3 MB
9	15/6f3e3d	27466	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SRX17852072)	COMPLETED	0	2024-05-22 10:15:25.954	4.5s	0ms	92.4%	3.7 MB	9.4 MB	13.1 MB	5 KB
11	6d/519a6f	27743	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SRX17852072)	COMPLETED	0	2024-05-22 10:15:30.533	12.6s	0ms	27.6%	3.5 MB	10.8 MB	849 KB	5 KB
