task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	d5/482dbb	10006	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (SRX17852072.fasta)	COMPLETED	0	2024-05-22 10:23:03.197	1s	0ms	35.4%	4.6 MB	11.7 MB	818.3 KB	4.9 KB
3	07/31d99d	10002	NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (SRX17852072_samplesheet.csv)	COMPLETED	0	2024-05-22 10:23:03.168	1.2s	1s	90.4%	4.1 MB	9.9 MB	24.4 MB	565 B
5	d4/1e6e6c	10004	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (SRX17852072.fasta)	COMPLETED	0	2024-05-22 10:23:03.183	2.8s	2s	83.8%	111.1 MB	1.1 GB	53 MB	8.3 MB
2	28/d26057	10982	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (SRX17852072_Artic_4.1.bed)	COMPLETED	0	2024-05-22 10:23:06.017	1.4s	1s	61.4%	3.2 MB	5.4 MB	24.4 MB	4.4 KB
1	9f/5eb7c7	10459	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD (SRX17852072.fasta)	COMPLETED	0	2024-05-22 10:23:04.234	3.3s	3s	74.1%	84.4 MB	15.1 GB	41.6 MB	16.8 KB
6	12/0041fd	10984	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (SRX17852072)	COMPLETED	0	2024-05-22 10:23:06.032	17s	16s	120.2%	1.3 GB	1.8 GB	127.1 MB	23.3 MB
7	91/ae2467	12019	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SRX17852072)	COMPLETED	0	2024-05-22 10:23:23.160	19.2s	19s	1007.5%	323.4 MB	1.9 GB	150 MB	122.2 MB
8	80/bdcf35	13376	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SRX17852072)	COMPLETED	0	2024-05-22 10:23:42.408	3.7s	3s	82.8%	98 MB	5.4 GB	23.8 MB	12.3 MB
9	a8/ac67b3	13802	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SRX17852072)	COMPLETED	0	2024-05-22 10:23:46.153	1.5s	0ms	86.6%	3.6 MB	11.3 MB	13.1 MB	5 KB
11	5a/62e9c3	13971	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SRX17852072)	COMPLETED	0	2024-05-22 10:23:47.671	1.6s	1s	22.7%	3.1 MB	5.4 MB	849.1 KB	5 KB
