chrom	start	end	coverage	sample
SRX17852072	0	200	1144.3	SRX17852072
SRX17852072	200	400	2133.01	SRX17852072
SRX17852072	400	600	1543.6	SRX17852072
SRX17852072	600	800	1094.86	SRX17852072
SRX17852072	800	1000	1346.73	SRX17852072
SRX17852072	1000	1200	1398.17	SRX17852072
SRX17852072	1200	1400	803.73	SRX17852072
SRX17852072	1400	1600	535.46	SRX17852072
SRX17852072	1600	1800	1377.57	SRX17852072
SRX17852072	1800	2000	1915.81	SRX17852072
SRX17852072	2000	2200	3177.03	SRX17852072
SRX17852072	2200	2400	424.57	SRX17852072
SRX17852072	2400	2600	348.47	SRX17852072
SRX17852072	2600	2800	906.49	SRX17852072
SRX17852072	2800	3000	610.94	SRX17852072
SRX17852072	3000	3200	1485.19	SRX17852072
SRX17852072	3200	3400	3139.49	SRX17852072
SRX17852072	3400	3600	1891.26	SRX17852072
SRX17852072	3600	3800	1775.75	SRX17852072
SRX17852072	3800	4000	2523.17	SRX17852072
SRX17852072	4000	4200	1046.43	SRX17852072
SRX17852072	4200	4400	482.09	SRX17852072
SRX17852072	4400	4600	0	SRX17852072
SRX17852072	4600	4800	1275.25	SRX17852072
SRX17852072	4800	5000	2165.19	SRX17852072
SRX17852072	5000	5200	2203.81	SRX17852072
SRX17852072	5200	5400	1114.55	SRX17852072
SRX17852072	5400	5600	720.67	SRX17852072
SRX17852072	5600	5800	2041.54	SRX17852072
SRX17852072	5800	6000	1206.84	SRX17852072
SRX17852072	6000	6200	637.17	SRX17852072
SRX17852072	6200	6400	1016.77	SRX17852072
SRX17852072	6400	6600	846.47	SRX17852072
SRX17852072	6600	6800	631.11	SRX17852072
SRX17852072	6800	7000	548.97	SRX17852072
SRX17852072	7000	7200	343.71	SRX17852072
SRX17852072	7200	7400	393.09	SRX17852072
SRX17852072	7400	7600	1888.87	SRX17852072
SRX17852072	7600	7800	1261.98	SRX17852072
SRX17852072	7800	8000	242.8	SRX17852072
SRX17852072	8000	8200	3281.82	SRX17852072
SRX17852072	8200	8400	3299.39	SRX17852072
SRX17852072	8400	8600	1508.53	SRX17852072
SRX17852072	8600	8800	1445.09	SRX17852072
SRX17852072	8800	9000	1143.71	SRX17852072
SRX17852072	9000	9200	529.2	SRX17852072
SRX17852072	9200	9400	475.21	SRX17852072
SRX17852072	9400	9600	557.03	SRX17852072
SRX17852072	9600	9800	1198.9	SRX17852072
SRX17852072	9800	10000	1091.05	SRX17852072
SRX17852072	10000	10200	1103.43	SRX17852072
SRX17852072	10200	10400	1358.71	SRX17852072
SRX17852072	10400	10600	1439.92	SRX17852072
SRX17852072	10600	10800	1321.99	SRX17852072
SRX17852072	10800	11000	860.38	SRX17852072
SRX17852072	11000	11200	1542.17	SRX17852072
SRX17852072	11200	11400	1592.31	SRX17852072
SRX17852072	11400	11600	958	SRX17852072
SRX17852072	11600	11800	928.83	SRX17852072
SRX17852072	11800	12000	1191.18	SRX17852072
SRX17852072	12000	12200	1196.48	SRX17852072
SRX17852072	12200	12400	1894.26	SRX17852072
SRX17852072	12400	12600	2772.7	SRX17852072
SRX17852072	12600	12800	746.11	SRX17852072
SRX17852072	12800	13000	1130.21	SRX17852072
SRX17852072	13000	13200	1969.51	SRX17852072
SRX17852072	13200	13400	1481.08	SRX17852072
SRX17852072	13400	13600	1525.81	SRX17852072
SRX17852072	13600	13800	2863.51	SRX17852072
SRX17852072	13800	14000	1951.8	SRX17852072
SRX17852072	14000	14200	1062.96	SRX17852072
SRX17852072	14200	14400	1042.64	SRX17852072
SRX17852072	14400	14600	1399.4	SRX17852072
SRX17852072	14600	14800	807.31	SRX17852072
SRX17852072	14800	15000	655.39	SRX17852072
SRX17852072	15000	15200	273.57	SRX17852072
SRX17852072	15200	15400	284.51	SRX17852072
SRX17852072	15400	15600	488.15	SRX17852072
SRX17852072	15600	15800	1934.12	SRX17852072
SRX17852072	15800	16000	1322.76	SRX17852072
SRX17852072	16000	16200	1663.31	SRX17852072
SRX17852072	16200	16400	1623.92	SRX17852072
SRX17852072	16400	16600	1774.37	SRX17852072
SRX17852072	16600	16800	1596.69	SRX17852072
SRX17852072	16800	17000	1534.66	SRX17852072
SRX17852072	17000	17200	1278.74	SRX17852072
SRX17852072	17200	17400	1010.28	SRX17852072
SRX17852072	17400	17600	1217.19	SRX17852072
SRX17852072	17600	17800	1027.95	SRX17852072
SRX17852072	17800	18000	1106	SRX17852072
SRX17852072	18000	18200	670.34	SRX17852072
SRX17852072	18200	18400	863.09	SRX17852072
SRX17852072	18400	18600	1400.7	SRX17852072
SRX17852072	18600	18800	1183.74	SRX17852072
SRX17852072	18800	19000	1316.44	SRX17852072
SRX17852072	19000	19200	2175.87	SRX17852072
SRX17852072	19200	19400	1542.76	SRX17852072
SRX17852072	19400	19600	1065.46	SRX17852072
SRX17852072	19600	19800	691.5	SRX17852072
SRX17852072	19800	20000	373.19	SRX17852072
SRX17852072	20000	20200	846.99	SRX17852072
SRX17852072	20200	20400	2123.29	SRX17852072
SRX17852072	20400	20600	872.72	SRX17852072
SRX17852072	20600	20800	751.57	SRX17852072
SRX17852072	20800	21000	1446.78	SRX17852072
SRX17852072	21000	21200	935.04	SRX17852072
SRX17852072	21200	21400	937.05	SRX17852072
SRX17852072	21400	21600	1517.97	SRX17852072
SRX17852072	21600	21800	1446.06	SRX17852072
SRX17852072	21800	22000	571.74	SRX17852072
SRX17852072	22000	22200	566.09	SRX17852072
SRX17852072	22200	22400	203.54	SRX17852072
SRX17852072	22400	22600	509.11	SRX17852072
SRX17852072	22600	22800	586.3	SRX17852072
SRX17852072	22800	23000	845.61	SRX17852072
SRX17852072	23000	23200	1725.15	SRX17852072
SRX17852072	23200	23400	1636.79	SRX17852072
SRX17852072	23400	23600	1624.48	SRX17852072
SRX17852072	23600	23800	115.05	SRX17852072
SRX17852072	23800	24000	509.09	SRX17852072
SRX17852072	24000	24200	1117.25	SRX17852072
SRX17852072	24200	24400	1970.92	SRX17852072
SRX17852072	24400	24600	1781.21	SRX17852072
SRX17852072	24600	24800	1217.52	SRX17852072
SRX17852072	24800	25000	844.24	SRX17852072
SRX17852072	25000	25200	1041.56	SRX17852072
SRX17852072	25200	25400	1968.03	SRX17852072
SRX17852072	25400	25600	2288.19	SRX17852072
SRX17852072	25600	25800	1178.65	SRX17852072
SRX17852072	25800	26000	1001.97	SRX17852072
SRX17852072	26000	26200	2130.03	SRX17852072
SRX17852072	26200	26400	1095.4	SRX17852072
