task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	c3/6ec1f9	12247	NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (SRX17852073_samplesheet.csv)	COMPLETED	0	2024-05-22 10:22:57.692	1.3s	0ms	87.5%	4.2 MB	9.9 MB	24.4 MB	564 B
1	33/6dbc36	12695	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (SRX17852073.fasta)	COMPLETED	0	2024-05-22 10:22:58.960	898ms	0ms	60.5%	3.7 MB	11.3 MB	818.1 KB	4.9 KB
4	33/07619c	12245	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (SRX17852073.fasta)	COMPLETED	0	2024-05-22 10:22:57.679	2.8s	2s	84.9%	111.2 MB	1.2 GB	53 MB	8.4 MB
5	01/a0fee1	12249	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD (SRX17852073.fasta)	COMPLETED	0	2024-05-22 10:22:57.702	3.4s	2s	72.4%	83.6 MB	15.1 GB	41.6 MB	16.8 KB
3	98/5d26c7	13309	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (SRX17852073_Artic_4.1.bed)	COMPLETED	0	2024-05-22 10:23:00.517	1.2s	1s	89.0%	4.1 MB	9.9 MB	24.4 MB	4.4 KB
6	66/f7e8b2	13311	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (SRX17852073)	COMPLETED	0	2024-05-22 10:23:00.534	18.7s	19s	129.7%	176.9 MB	181.6 MB	158.1 MB	36.5 MB
7	73/d09505	14291	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SRX17852073)	COMPLETED	0	2024-05-22 10:23:19.410	26.6s	26s	1099.6%	332.8 MB	2.4 GB	220.9 MB	193.3 MB
8	bd/aa4e11	15747	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SRX17852073)	COMPLETED	0	2024-05-22 10:23:46.060	4.6s	3s	114.2%	148.8 MB	5.5 GB	37.2 MB	19.5 MB
9	78/e48a53	16224	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SRX17852073)	COMPLETED	0	2024-05-22 10:23:50.743	1.2s	0ms	99.4%	3.1 MB	5.4 MB	20.3 MB	5 KB
12	68/711a36	16367	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SRX17852073)	COMPLETED	0	2024-05-22 10:23:51.982	3s	0ms	27.3%	3.4 MB	10.8 MB	848.9 KB	5 KB
