chrom	start	end	coverage	sample
SRX17852074	0	200	1201.34	SRX17852074
SRX17852074	200	400	2180.8	SRX17852074
SRX17852074	400	600	1223.43	SRX17852074
SRX17852074	600	800	827.25	SRX17852074
SRX17852074	800	1000	972.79	SRX17852074
SRX17852074	1000	1200	1067.59	SRX17852074
SRX17852074	1200	1400	706.17	SRX17852074
SRX17852074	1400	1600	600.11	SRX17852074
SRX17852074	1600	1800	1134.62	SRX17852074
SRX17852074	1800	2000	1431.72	SRX17852074
SRX17852074	2000	2200	2280.52	SRX17852074
SRX17852074	2200	2400	420.57	SRX17852074
SRX17852074	2400	2600	374.05	SRX17852074
SRX17852074	2600	2800	843.04	SRX17852074
SRX17852074	2800	3000	711.97	SRX17852074
SRX17852074	3000	3200	1288	SRX17852074
SRX17852074	3200	3400	2113.71	SRX17852074
SRX17852074	3400	3600	1337.9	SRX17852074
SRX17852074	3600	3800	1378.18	SRX17852074
SRX17852074	3800	4000	2090.96	SRX17852074
SRX17852074	4000	4200	1103.88	SRX17852074
SRX17852074	4200	4400	743.95	SRX17852074
SRX17852074	4400	4600	542.14	SRX17852074
SRX17852074	4600	4800	1165.54	SRX17852074
SRX17852074	4800	5000	1841.65	SRX17852074
SRX17852074	5000	5200	2370	SRX17852074
SRX17852074	5200	5400	1150.96	SRX17852074
SRX17852074	5400	5600	626.64	SRX17852074
SRX17852074	5600	5800	1236.37	SRX17852074
SRX17852074	5800	6000	807.72	SRX17852074
SRX17852074	6000	6200	606	SRX17852074
SRX17852074	6200	6400	1382.4	SRX17852074
SRX17852074	6400	6600	1157.96	SRX17852074
SRX17852074	6600	6800	850.09	SRX17852074
SRX17852074	6800	7000	1036.74	SRX17852074
SRX17852074	7000	7200	548.28	SRX17852074
SRX17852074	7200	7400	440.9	SRX17852074
SRX17852074	7400	7600	1400.59	SRX17852074
SRX17852074	7600	7800	907.26	SRX17852074
SRX17852074	7800	8000	123.44	SRX17852074
SRX17852074	8000	8200	3463.11	SRX17852074
SRX17852074	8200	8400	3356.17	SRX17852074
SRX17852074	8400	8600	1004.9	SRX17852074
SRX17852074	8600	8800	1398.64	SRX17852074
SRX17852074	8800	9000	1329.91	SRX17852074
SRX17852074	9000	9200	872.7	SRX17852074
SRX17852074	9200	9400	968.46	SRX17852074
SRX17852074	9400	9600	587.11	SRX17852074
SRX17852074	9600	9800	692.49	SRX17852074
SRX17852074	9800	10000	1060.55	SRX17852074
SRX17852074	10000	10200	1020.74	SRX17852074
SRX17852074	10200	10400	1040.8	SRX17852074
SRX17852074	10400	10600	1215.63	SRX17852074
SRX17852074	10600	10800	1215.77	SRX17852074
SRX17852074	10800	11000	1076.71	SRX17852074
SRX17852074	11000	11200	1118.34	SRX17852074
SRX17852074	11200	11400	1061.13	SRX17852074
SRX17852074	11400	11600	900.35	SRX17852074
SRX17852074	11600	11800	735.24	SRX17852074
SRX17852074	11800	12000	844.22	SRX17852074
SRX17852074	12000	12200	784.88	SRX17852074
SRX17852074	12200	12400	1249.88	SRX17852074
SRX17852074	12400	12600	1859.79	SRX17852074
SRX17852074	12600	12800	639.66	SRX17852074
SRX17852074	12800	13000	772	SRX17852074
SRX17852074	13000	13200	1263.66	SRX17852074
SRX17852074	13200	13400	981.58	SRX17852074
SRX17852074	13400	13600	1015.76	SRX17852074
SRX17852074	13600	13800	1916.18	SRX17852074
SRX17852074	13800	14000	1357.41	SRX17852074
SRX17852074	14000	14200	761.17	SRX17852074
SRX17852074	14200	14400	818.42	SRX17852074
SRX17852074	14400	14600	1241.73	SRX17852074
SRX17852074	14600	14800	840.65	SRX17852074
SRX17852074	14800	15000	879.1	SRX17852074
SRX17852074	15000	15200	255.99	SRX17852074
SRX17852074	15200	15400	432.59	SRX17852074
SRX17852074	15400	15600	591.33	SRX17852074
SRX17852074	15600	15800	1184.52	SRX17852074
SRX17852074	15800	16000	823.48	SRX17852074
SRX17852074	16000	16200	1140.96	SRX17852074
SRX17852074	16200	16400	1419.3	SRX17852074
SRX17852074	16400	16600	1332.48	SRX17852074
SRX17852074	16600	16800	1144.7	SRX17852074
SRX17852074	16800	17000	1121.38	SRX17852074
SRX17852074	17000	17200	1001.89	SRX17852074
SRX17852074	17200	17400	751.8	SRX17852074
SRX17852074	17400	17600	646.03	SRX17852074
SRX17852074	17600	17800	727.49	SRX17852074
SRX17852074	17800	18000	1014.85	SRX17852074
SRX17852074	18000	18200	1166.45	SRX17852074
SRX17852074	18200	18400	921.83	SRX17852074
SRX17852074	18400	18600	1124.06	SRX17852074
SRX17852074	18600	18800	795.68	SRX17852074
SRX17852074	18800	19000	805.92	SRX17852074
SRX17852074	19000	19200	1259.31	SRX17852074
SRX17852074	19200	19400	2417.36	SRX17852074
SRX17852074	19400	19600	1766.54	SRX17852074
SRX17852074	19600	19800	447.13	SRX17852074
SRX17852074	19800	20000	370.92	SRX17852074
SRX17852074	20000	20200	795.39	SRX17852074
SRX17852074	20200	20400	1666.55	SRX17852074
SRX17852074	20400	20600	590.92	SRX17852074
SRX17852074	20600	20800	459.97	SRX17852074
SRX17852074	20800	21000	939.3	SRX17852074
SRX17852074	21000	21200	791.9	SRX17852074
SRX17852074	21200	21400	769.03	SRX17852074
SRX17852074	21400	21600	1082.74	SRX17852074
SRX17852074	21600	21800	1283.69	SRX17852074
SRX17852074	21800	22000	591.51	SRX17852074
SRX17852074	22000	22200	745.25	SRX17852074
SRX17852074	22200	22400	467.66	SRX17852074
SRX17852074	22400	22600	344.83	SRX17852074
SRX17852074	22600	22800	360.58	SRX17852074
SRX17852074	22800	23000	1156.53	SRX17852074
SRX17852074	23000	23200	1951.16	SRX17852074
SRX17852074	23200	23400	1483.31	SRX17852074
SRX17852074	23400	23600	1300.03	SRX17852074
SRX17852074	23600	23800	102.27	SRX17852074
SRX17852074	23800	24000	392.57	SRX17852074
SRX17852074	24000	24200	833.96	SRX17852074
SRX17852074	24200	24400	1412.24	SRX17852074
SRX17852074	24400	24600	1275.56	SRX17852074
SRX17852074	24600	24800	884.09	SRX17852074
SRX17852074	24800	25000	732.72	SRX17852074
SRX17852074	25000	25200	800.45	SRX17852074
SRX17852074	25200	25400	1501.3	SRX17852074
SRX17852074	25400	25600	2043.5	SRX17852074
SRX17852074	25600	25800	1037.43	SRX17852074
SRX17852074	25800	26000	801.44	SRX17852074
SRX17852074	26000	26200	1497.34	SRX17852074
SRX17852074	26200	26400	880.29	SRX17852074
SRX17852074	26400	26600	384.42	SRX17852074
SRX17852074	26600	26800	837.09	SRX17852074
SRX17852074	26800	27000	953.49	SRX17852074
SRX17852074	27000	27200	1181.72	SRX17852074
SRX17852074	27200	27400	1747.16	SRX17852074
SRX17852074	27400	27600	1224.99	SRX17852074
SRX17852074	27600	27800	911.87	SRX17852074
SRX17852074	27800	28000	366.2	SRX17852074
SRX17852074	28000	28200	576.84	SRX17852074
SRX17852074	28200	28400	1230.99	SRX17852074
SRX17852074	28400	28600	957.84	SRX17852074
SRX17852074	28600	28800	1281.74	SRX17852074
SRX17852074	28800	29000	409.36	SRX17852074
SRX17852074	29000	29200	160.95	SRX17852074
SRX17852074	29200	29400	1088.37	SRX17852074
SRX17852074	29400	29600	793.9	SRX17852074
SRX17852074	29600	29800	921.33	SRX17852074
SRX17852074	29800	29903	161.21	SRX17852074
